0	0-1 1-1 2-1 3-1 4-0 5-0 6-0 7-0 
1	0-0 0-1 1-2 2-3 3-4 4-4 5-7 6-5 7-6 8-9 9-8 10-10 11-11 12-12 13-14 13-15 14-13 15-16 16-16 17-17 18-18 19-18 20-21 21-20 22-19 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 32-31 33-32 34-33 35-34 36-35 37-36 38-39 39-37 39-38 40-40 41-40 42-41 43-41 44-41 45-42 45-43 46-44 47-45 
2	0-6 0-7 0-8 1-4 2-5 3-9 4-10 4-11 5-2 6-0 7-1 8-3 9-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 16-21 17-22 18-23 19-24 20-25 21-26 21-27 22-28 23-29 24-30 24-31 25-32 26-33 27-34 28-37 29-35 29-36 30-38 31-39 31-40 32-41 33-42 33-43 34-44 35-44 36-46 37-46 38-45 39-48 40-47 41-47 42-49 43-50 44-51 45-52 46-52 47-53 48-53 49-54 49-55 50-58 51-59 52-60 52-61 53-56 54-57 55-63 56-62 57-64 58-65 58-66 59-67 60-68 61-69 62-70 62-71 63-72 64-73 65-74 66-75 67-76 68-77 69-79 70-79 71-78 72-80 72-81 73-82 
3	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 11-12 12-13 13-13 14-13 15-14 15-15 16-16 17-16 18-17 19-18 20-19 21-20 21-21 22-24 23-24 24-22 25-22 26-23 27-25 27-26 28-27 28-28 29-35 29-36 30-37 31-30 32-31 33-29 34-32 34-33 35-34 36-34 37-41 37-42 38-43 39-44 40-40 41-38 42-39 43-45 43-46 44-47 45-48 46-49 47-50 48-52 49-51 50-53 51-54 52-55 53-56 54-57 55-58 56-59 57-60 58-61 59-62 59-63 60-64 61-65 62-66 63-67 64-68 65-69 66-70 67-71 68-72 69-73 70-74 71-75 71-76 72-77 73-78 
4	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-6 7-7 7-8 7-9 8-10 8-11 9-12 10-13 11-14 11-15 12-20 13-16 14-17 14-18 15-19 16-21 17-22 18-23 18-24 19-25 20-26 21-27 
5	0-0 1-1 2-2 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-7 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 
6	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-12 14-13 15-14 15-15 16-26 17-27 18-17 19-16 20-18 21-20 22-20 23-19 24-19 25-21 25-22 26-23 26-24 26-25 27-32 27-33 28-34 29-34 30-28 31-29 32-30 33-31 34-35 35-36 35-37 36-38 37-39 38-40 39-41 39-42 40-43 41-44 42-45 42-46 43-47 44-48 45-49 
7	0-3 0-4 1-5 2-1 2-2 3-0 4-6 5-7 6-8 7-9 7-10 8-14 9-12 9-13 10-11 11-18 12-17 13-15 13-16 14-19 14-20 14-21 15-22 16-22 17-24 18-25 19-23 20-26 20-27 21-28 22-30 23-29 24-31 24-32 24-33 25-34 26-35 27-35 28-37 29-36 30-38 31-40 32-39 33-39 34-41 35-42 36-43 37-44 38-45 39-46 40-48 41-47 42-47 43-49 
8	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 7-8 8-13 9-14 10-9 11-10 12-11 13-12 14-15 14-16 15-17 16-18 17-19 18-21 18-22 19-20 20-20 21-23 22-24 22-25 23-26 24-26 25-27 26-28 27-29 28-30 29-31 30-32 31-33 32-36 33-37 34-34 34-35 35-39 35-40 36-38 37-41 38-41 39-43 40-44 41-42 42-42 43-45 44-46 45-47 46-48 47-49 
9	0-0 1-0 2-1 3-2 4-3 5-3 6-4 6-5 7-6 8-7 9-8 10-9 11-10 12-13 13-13 14-11 15-12 16-14 17-15 18-23 19-23 20-22 21-21 22-18 23-19 24-20 25-16 26-17 27-28 28-27 29-24 29-25 30-26 31-29 32-30 33-31 34-32 35-33 36-34 37-35 38-36 
