0	0-0 1-0 2-0 3-0 4-0 5-0 6-0 7-1 
1	2-3 3-4 4-5 5-5 6-5 7-6 7-7 9-8 10-10 11-11 12-12 13-14 13-15 14-13 15-16 16-17 17-17 18-18 19-21 20-21 21-20 22-19 23-22 24-23 25-24 26-25 27-25 28-26 28-27 29-28 30-29 31-30 32-31 33-32 34-33 35-34 36-35 36-36 37-37 37-38 38-39 39-40 40-41 41-41 42-41 43-44 44-44 45-42 46-43 47-45 
2	0-6 0-7 0-8 1-4 2-5 3-9 3-10 3-11 4-1 5-2 5-3 6-0 7-0 8-12 9-13 10-14 11-15 12-16 13-17 14-18 15-19 16-20 19-24 20-25 20-26 21-27 22-28 23-29 25-32 26-33 27-34 28-37 28-38 32-40 32-41 33-42 33-43 33-44 34-45 35-45 36-45 37-45 38-45 40-47 41-48 42-49 43-50 44-51 45-52 46-52 47-52 48-53 49-54 51-59 52-55 53-56 54-60 55-61 56-62 56-63 57-64 58-65 58-66 59-67 60-68 61-69 62-70 62-71 63-72 64-73 65-74 66-75 67-76 68-77 69-78 69-79 69-80 70-81 71-81 72-81 73-82 
3	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-13 12-14 13-12 14-12 15-12 17-15 18-17 19-18 20-19 21-20 22-21 23-24 24-22 25-22 26-23 27-25 27-26 28-27 29-28 30-29 31-30 34-43 35-43 36-35 36-36 36-37 37-34 38-32 38-33 40-40 41-41 41-42 42-45 43-46 44-47 45-48 46-49 47-50 48-50 49-51 51-54 52-55 55-58 56-59 57-60 58-61 63-67 64-68 65-69 66-70 67-71 69-73 70-74 70-75 71-76 72-77 73-78 
4	0-0 2-2 3-3 3-4 5-6 6-6 7-7 7-8 7-9 8-10 8-11 9-12 11-14 11-15 12-20 13-20 14-16 14-17 14-18 15-19 16-21 17-22 18-23 18-24 19-25 20-26 21-27 
5	0-0 1-1 2-2 3-2 4-3 5-4 6-5 7-6 8-6 9-6 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 
6	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-12 14-13 15-14 16-15 17-21 18-21 19-16 21-20 23-19 24-19 25-22 26-22 27-23 27-24 28-25 30-28 31-29 32-30 32-31 33-32 33-33 33-34 34-35 35-36 35-37 36-38 37-39 38-40 39-41 40-42 40-43 40-44 41-45 42-46 43-47 44-48 45-49 
7	0-3 0-4 1-5 3-0 4-6 5-7 6-8 7-9 9-12 9-13 9-14 9-15 10-16 11-18 11-19 12-17 13-20 14-21 15-22 16-23 17-24 18-24 20-27 20-28 21-29 22-30 23-31 24-32 25-33 25-34 26-35 27-36 28-37 36-43 38-45 39-46 40-48 41-47 42-47 43-49 
8	0-0 1-1 2-2 3-3 4-4 5-5 6-6 8-8 9-8 10-9 10-10 10-11 10-12 12-14 13-16 14-15 15-17 16-18 17-19 18-21 18-22 19-20 20-20 21-23 22-24 22-25 23-26 24-26 25-27 26-28 27-29 28-30 29-31 30-32 31-33 32-34 32-35 32-36 33-37 34-38 35-39 35-40 36-41 37-41 38-42 39-43 40-44 41-45 42-45 43-45 44-46 45-47 46-48 47-49 
9	1-1 2-1 3-1 4-2 5-3 6-4 6-5 7-6 8-7 9-8 10-9 11-10 12-13 15-12 16-14 17-15 20-17 21-17 22-18 23-19 24-19 25-20 26-21 28-23 29-24 30-25 30-26 30-27 30-28 31-29 32-30 33-31 34-32 35-33 36-34 37-35 38-36 
