0	0-0 0-1 1-2 2-3 3-3 4-7 5-7 6-4 7-4 8-5 8-6 
1	0-4 1-5 2-2 2-3 3-1 4-0 5-6 5-7 6-8 7-9 8-9 9-10 10-11 11-12 12-16 13-15 14-15 15-13 16-14 17-17 18-17 19-21 20-22 21-20 22-20 23-24 23-25 24-23 25-23 26-23 27-18 27-19 28-26 28-27 29-28 30-28 31-28 32-29 33-30 34-32 35-31 36-33 37-34 38-35 
2	0-0 1-0 2-1 3-2 4-2 5-2 6-3 6-4 7-5 8-5 9-6 10-7 11-8 12-9 12-10 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-16 21-17 22-20 23-21 24-22 25-22 26-18 27-18 28-19 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 7-8 7-9 8-13 8-14 9-15 9-16 10-10 10-11 11-12 12-17 
4	0-0 0-1 1-2 2-14 2-15 2-16 2-17 3-9 3-10 4-11 4-12 4-13 5-18 5-19 5-20 5-21 6-6 6-7 6-8 7-3 7-4 7-5 
5	0-0 0-1 1-8 2-9 3-10 3-11 4-5 4-6 4-7 5-2 5-3 6-4 7-18 7-19 7-20 8-21 9-22 9-23 10-24 10-25 11-12 12-13 12-14 13-15 13-16 13-17 14-31 14-32 15-29 15-30 16-33 17-26 17-27 17-28 18-35 18-36 19-34 20-37 21-38 
6	0-0 0-1 1-2 2-3 3-5 4-4 5-7 6-6 7-8 8-9 9-9 10-11 10-12 11-13 12-10 13-14 14-15 15-16 16-17 17-17 18-18 19-18 20-19 21-20 22-22 22-23 23-24 24-24 25-21 26-21 27-25 
7	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 6-8 7-9 8-9 9-10 10-11 10-12 11-13 12-13 13-14 13-15 14-17 14-18 14-19 15-16 16-16 17-23 17-24 18-25 19-20 19-21 20-22 21-30 21-31 22-34 22-35 23-32 24-33 25-26 25-27 26-28 27-29 28-36 29-36 30-37 30-38 31-39 32-40 32-41 33-42 34-42 35-43 
8	0-0 0-1 1-2 1-3 2-4 3-5 4-6 5-14 6-10 6-11 7-7 8-8 9-9 10-12 10-13 11-15 11-16 12-18 13-19 13-20 14-17 15-32 15-33 16-34 16-35 17-28 17-29 17-30 17-31 18-21 19-22 20-23 20-24 21-25 21-26 21-27 22-36 23-37 23-38 24-41 25-39 25-40 26-42 26-43 27-44 28-45 29-46 29-47 30-48 31-49 32-50 32-51 32-52 33-56 34-55 35-53 35-54 36-57 36-58 37-59 37-60 37-61 38-66 38-67 38-68 38-69 39-70 40-62 40-63 40-64 40-65 41-71 41-72 42-73 43-74 
9	0-0 0-1 0-2 1-3 2-3 3-4 4-4 5-5 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-11 14-12 
