0	0-0 0-1 1-2 2-3 3-5 4-5 5-4 6-4 7-4 8-6 8-7 
1	0-4 1-5 2-2 2-3 3-1 4-0 5-6 5-7 6-8 7-9 8-9 9-10 10-11 11-12 12-16 13-15 14-15 15-13 16-14 17-17 18-18 19-19 20-19 21-20 22-21 22-22 23-24 23-25 24-23 25-23 26-23 27-26 28-27 29-28 30-28 31-29 32-30 33-30 34-30 35-31 35-32 36-33 37-34 38-35 
2	0-0 1-0 2-1 3-1 4-2 5-3 6-3 7-4 8-5 8-6 9-7 10-7 11-8 12-9 12-10 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-17 21-22 22-22 23-21 24-21 25-20 26-18 27-18 28-19 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 7-8 7-9 8-13 9-14 9-15 9-16 10-10 10-11 11-12 12-17 
4	0-0 1-1 1-2 2-11 2-12 2-13 3-8 3-9 3-10 4-14 4-15 4-16 4-17 4-18 4-19 4-20 5-6 5-7 6-3 6-4 6-5 7-21 
5	0-0 0-1 1-8 1-9 2-6 2-7 3-10 4-11 4-12 5-2 5-3 6-4 7-5 8-21 9-22 10-23 10-24 10-25 11-16 11-17 11-18 11-19 11-20 12-13 12-14 13-15 14-31 14-32 15-26 15-27 15-28 15-29 15-30 16-33 17-33 18-35 18-36 19-34 20-37 21-38 
6	0-0 0-1 1-2 2-3 3-5 4-4 5-7 6-6 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-17 18-18 19-18 20-19 21-20 22-23 23-23 24-24 25-21 26-22 27-25 
7	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 6-8 7-9 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 16-18 17-23 17-24 17-25 18-19 19-20 20-21 20-22 21-35 22-34 23-31 23-32 24-33 25-26 26-27 26-28 27-29 27-30 28-36 29-36 30-37 30-38 31-39 32-40 32-41 33-42 34-42 35-43 
8	0-0 1-1 2-2 2-3 2-4 3-5 4-6 5-12 6-13 7-7 7-8 8-10 8-11 9-9 10-9 11-14 11-15 12-18 12-19 12-20 13-16 14-17 15-32 15-33 16-34 16-35 17-28 17-29 17-30 17-31 18-24 18-25 19-26 19-27 20-23 21-21 21-22 22-36 22-37 22-38 23-39 24-40 24-41 25-42 26-43 27-44 28-45 29-46 30-47 30-48 31-49 32-50 33-51 33-52 34-55 34-56 35-53 36-54 37-57 37-58 37-59 38-60 38-61 39-68 39-69 39-70 40-71 40-72 40-73 41-62 41-63 41-64 42-65 42-66 42-67 43-74 
9	0-0 0-1 1-2 1-3 2-4 3-4 4-4 5-5 6-5 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 
10	0-0 1-0 2-0 3-1 4-2 4-3 5-4 6-5 7-5 8-6 9-7 10-7 11-8 12-9 13-10 13-11 14-12 15-12 16-13 17-14 18-15 19-17 20-18 21-16 22-23 23-24 24-19 25-20 26-21 27-22 28-22 29-29 30-30 31-25 32-26 32-27 33-28 34-40 35-41 36-42 37-32 37-33 38-31 39-34 40-35 41-36 42-36 43-37 44-38 45-39 46-39 47-46 48-46 49-43 50-43 51-44 52-45 53-45 54-47 55-47 56-48 57-49 58-49 59-50 60-51 61-52 62-53 62-54 63-56 63-57 64-55 65-55 66-58 67-59 68-62 69-63 70-64 71-61 72-60 73-65 
