0	0-0 0-1 1-2 2-3 3-4 4-4 5-4 6-4 7-4 8-5 8-6 8-7 
1	0-4 1-5 2-2 2-3 3-0 3-1 4-6 5-7 6-8 7-9 8-10 9-11 10-11 11-12 12-16 13-15 14-15 15-13 16-14 17-17 18-18 19-19 20-19 21-20 22-21 22-22 23-24 23-25 24-23 25-23 26-23 27-26 28-27 29-28 30-29 31-29 32-30 33-30 34-30 35-31 35-32 36-33 37-34 38-35 
2	0-0 1-0 2-1 3-1 4-1 5-2 6-3 7-4 8-5 8-6 9-7 10-7 11-8 12-9 12-10 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-16 21-17 22-17 23-20 24-20 25-20 26-19 27-18 28-21 28-22 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 11-12 11-13 11-14 11-15 11-16 12-17 
4	0-0 1-1 2-8 3-9 3-10 3-11 4-12 4-13 4-14 4-15 4-16 4-17 4-18 4-19 4-20 5-6 5-7 6-2 6-3 6-4 6-5 7-21 
5	0-0 0-1 1-2 1-3 2-6 2-7 3-10 3-11 4-8 4-9 5-4 5-5 6-15 6-16 6-17 6-18 6-19 7-12 7-13 7-14 8-21 8-22 9-20 10-24 10-25 11-23 12-23 13-23 14-26 14-27 14-28 14-29 14-30 14-31 15-32 16-33 17-34 18-35 19-35 20-36 20-37 21-38 
6	0-0 0-1 1-2 2-3 3-5 4-4 5-7 6-6 7-8 8-9 9-10 10-11 10-12 11-13 12-13 13-14 14-15 15-16 16-17 17-18 18-18 19-18 20-19 21-20 22-23 23-23 24-24 25-21 26-22 27-25 
7	0-0 1-1 2-2 3-3 4-4 4-5 5-6 6-7 6-8 7-9 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 19-21 20-22 20-23 20-24 20-25 21-31 22-31 23-32 24-33 24-34 24-35 25-26 26-27 26-28 27-29 27-30 28-36 29-36 30-37 30-38 31-39 32-40 32-41 33-42 34-42 35-43 
8	0-0 0-1 1-2 2-3 2-4 3-5 4-6 5-8 6-9 6-10 7-7 8-7 9-11 10-12 10-13 11-14 12-15 12-16 13-19 14-20 15-21 15-22 16-17 16-18 17-26 17-27 17-28 17-29 17-30 18-24 18-25 19-23 20-31 20-32 20-33 21-34 21-35 22-36 22-37 22-38 23-39 24-40 24-41 25-42 26-43 27-44 28-45 29-46 29-47 30-48 31-49 32-50 33-51 34-52 35-53 36-54 36-55 36-56 37-57 37-58 37-59 38-60 39-68 39-69 39-70 40-71 40-72 41-61 41-62 41-63 41-64 41-65 41-66 41-67 42-73 43-74 
9	0-0 0-1 0-2 1-3 2-4 3-4 4-5 5-5 6-5 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 
