0	0-0 1-1 2-2 2-3 3-4 4-4 5-5 5-6 6-7 
1	0-0 0-1 0-2 0-3 0-4 0-5 0-6 1-7 2-8 3-8 4-13 4-14 5-9 5-10 5-11 6-12 7-12 8-12 9-15 10-16 11-16 12-17 13-18 14-18 15-19 16-20 17-21 18-22 19-23 20-24 20-25 21-26 22-27 23-28 24-29 
2	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-8 10-9 11-10 12-11 13-13 14-13 15-12 16-12 17-14 18-15 
3	0-0 1-1 2-3 3-4 4-2 5-5 5-6 6-7 7-8 8-9 9-10 
4	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 11-10 12-11 13-12 14-12 15-13 16-14 17-14 18-15 19-16 20-17 21-18 
5	0-0 1-1 1-2 2-10 2-11 3-8 4-9 5-6 5-7 6-3 6-4 6-5 7-12 8-15 9-13 10-14 11-16 11-17 12-18 13-18 14-19 15-20 15-21 16-22 17-23 18-24 19-25 19-26 19-27 20-28 21-28 22-29 23-30 24-31 24-32 25-33 25-34 26-35 27-36 28-37 29-38 30-39 30-40 30-41 31-42 31-43 32-44 33-45 34-46 35-47 35-48 36-49 37-50 38-51 39-52 40-53 41-53 42-55 43-55 44-55 45-54 46-56 47-57 48-58 49-59 50-60 51-61 52-61 53-63 54-64 55-62 56-62 57-65 58-66 59-67 60-68 
6	0-0 1-1 2-2 3-3 4-4 5-6 6-5 7-7 8-8 9-9 10-10 11-10 12-11 13-12 14-13 15-14 15-15 16-17 16-18 17-16 18-20 19-19 20-19 21-23 22-21 23-22 24-24 24-25 25-26 26-28 26-29 27-27 28-30 29-31 30-32 31-33 32-34 33-35 34-36 35-36 36-37 36-38 37-39 37-40 37-41 37-42 37-43 38-45 39-45 40-44 41-46 42-47 42-48 43-49 44-50 45-59 45-60 45-61 45-62 46-56 47-57 47-58 48-52 48-53 49-51 50-54 51-55 52-55 53-63 54-64 55-65 56-65 57-66 57-67 58-68 59-69 59-70 60-71 61-72 62-73 63-73 64-74 65-75 66-76 66-77 67-78 67-79 67-80 68-81 69-82 70-83 71-84 72-85 
7	0-0 1-1 2-4 3-3 4-2 5-5 6-7 7-6 8-8 9-9 9-10 10-11 11-12 12-13 13-14 14-14 15-15 16-16 16-17 17-18 18-19 19-20 20-21 21-22 22-22 23-23 24-23 25-24 26-26 27-25 28-25 29-27 30-28 31-30 32-30 33-30 34-29 35-29 36-31 37-31 38-32 39-33 40-34 40-35 41-45 42-44 43-44 44-36 45-37 46-38 47-39 48-40 48-41 48-42 49-43 50-43 51-46 52-46 53-47 54-48 55-51 56-49 56-50 57-52 58-53 59-54 59-55 60-56 61-57 62-58 63-59 64-60 65-61 
8	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 8-7 9-8 10-9 11-11 11-12 12-10 13-13 14-14 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 24-23 25-24 26-26 27-25 28-25 29-29 30-30 31-31 32-32 33-27 34-28 35-33 36-34 37-35 38-35 39-35 40-36 41-37 42-38 43-39 44-41 45-41 46-40 47-42 48-43 49-44 50-45 51-46 
9	0-0 1-1 2-2 3-2 4-3 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 13-12 14-13 15-16 15-17 16-18 17-19 18-14 18-15 19-20 20-21 21-22 22-23 23-24 24-25 25-26 26-27 27-28 28-29 28-30 29-31 30-31 31-32 32-33 32-34 33-35 34-36 35-37 36-38 37-39 38-39 39-40 39-41 40-42 41-43 42-44 43-45 44-45 45-46 46-47 47-47 48-47 49-48 49-49 50-50 50-51 51-52 
10	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-8 7-9 8-6 9-7 10-10 11-11 11-12 12-15 13-16 14-13 15-14 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-24 25-25 26-26 26-27 27-28 28-29 29-30 30-31 31-33 31-34 32-32 33-32 34-32 35-35 35-36 36-37 37-38 38-39 
11	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 7-7 8-8 9-8 10-9 10-10 11-18 12-19 13-11 13-12 13-13 14-14 15-15 16-15 17-16 17-17 18-20 
12	0-0 1-0 2-1 3-2 3-3 4-8 5-8 6-8 7-8 8-7 9-6 10-4 10-5 11-18 12-18 13-18 14-19 15-20 16-12 17-13 18-14 19-15 20-16 21-17 22-9 23-10 24-11 25-21 26-22 27-23 27-24 28-25 28-26 28-27 28-28 29-29 30-30 31-31 32-32 33-33 34-33 35-36 35-37 36-34 37-35 38-38 38-39 39-40 40-41 41-42 42-43 43-46 43-47 44-44 44-45 45-48 46-49 47-50 48-51 49-52 50-52 51-53 52-53 53-54 53-55 54-57 55-58 56-56 57-56 58-59 59-59 60-60 61-61 61-62 62-63 63-64 64-67 64-68 65-65 65-66 66-69 67-69 68-70 68-71 
