0	0-0 1-0 2-1 3-1 4-2 5-2 6-2 7-2 
1	0-6 1-7 2-8 3-9 4-0 5-0 6-5 7-5 8-2 9-1 10-4 11-3 12-14 13-15 14-11 15-12 16-10 17-10 18-13 19-18 20-19 21-20 22-20 23-16 24-17 25-24 26-25 27-26 28-26 29-21 30-22 31-23 32-31 33-32 34-27 35-27 36-28 37-29 38-30 39-33 40-33 41-35 42-34 43-38 44-39 45-36 46-37 47-40 
2	0-1 1-0 2-2 3-2 4-3 5-4 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-10 14-11 15-12 16-13 17-14 18-15 
3	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 
4	0-2 1-2 2-0 3-1 4-3 5-4 5-5 6-8 7-6 8-7 9-9 10-10 11-10 12-12 13-13 14-11 15-14 15-15 16-16 17-17 18-18 19-19 20-19 21-20 22-21 23-22 24-23 25-24 26-24 27-25 
5	0-0 1-0 2-2 3-1 4-3 5-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 12-19 13-19 14-14 15-15 16-16 17-17 18-18 19-11 20-12 21-13 22-21 22-22 23-20 24-20 25-23 26-24 27-24 28-25 
6	0-6 1-6 2-3 3-3 4-4 4-5 5-0 6-1 7-2 8-2 9-8 10-8 11-7 12-10 13-9 14-9 15-11 16-12 17-12 18-14 19-13 20-13 21-15 
7	0-0 1-3 2-4 3-2 4-1 5-11 6-11 7-12 8-13 9-8 10-9 11-10 12-5 13-6 14-7 15-17 16-17 17-14 18-15 19-16 20-22 21-21 22-19 23-20 24-18 25-24 26-25 27-23 28-23 29-26 29-27 30-30 31-28 32-29 33-33 33-34 34-31 35-32 36-35 37-36 38-37 39-37 40-38 40-39 41-40 42-40 43-41 44-42 45-43 46-44 
8	0-0 1-1 2-2 2-3 3-9 3-10 4-11 5-11 6-7 6-8 7-6 8-6 9-4 9-5 10-12 10-13 11-14 12-16 12-17 13-15 14-18 15-18 16-22 17-22 18-23 19-24 19-25 20-21 21-21 22-19 22-20 23-26 24-27 25-28 26-29 27-30 28-32 29-31 30-33 31-36 32-37 33-34 33-35 34-39 35-38 36-40 37-41 38-42 39-43 40-44 41-45 42-46 43-51 44-52 45-49 45-50 46-47 47-48 48-53 49-54 
9	0-0 1-1 2-3 3-2 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 12-17 13-18 14-20 15-19 16-14 17-15 18-16 19-11 20-12 21-13 
10	0-0 1-0 2-6 3-5 4-1 5-1 6-1 7-2 7-3 8-4 9-7 9-8 10-15 11-14 12-16 13-10 14-9 15-11 16-13 17-12 18-22 19-21 20-17 21-18 22-19 23-20 24-23 25-23 26-24 27-25 28-26 28-27 29-36 30-36 31-35 32-29 33-28 34-32 35-33 36-34 37-30 38-31 39-37 40-38 41-39 42-40 43-41 44-41 45-42 45-43 46-44 47-45 48-46 49-49 50-50 51-48 52-47 53-47 54-51 55-52 56-53 57-54 58-55 
11	0-0 1-1 2-3 3-4 4-2 5-5 6-6 7-7 8-9 8-10 9-8 10-8 11-11 11-12 12-13 13-13 14-14 14-15 15-16 16-17 16-18 17-19 18-19 19-21 20-20 21-22 22-23 23-27 23-28 24-24 24-25 25-26 26-26 27-29 28-29 29-30 30-31 
12	0-0 1-1 2-2 3-2 4-3 5-3 6-4 6-5 7-8 8-6 9-7 10-9 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-17 21-18 22-19 23-20 24-21 25-22 26-23 27-24 28-24 29-25 30-26 31-27 32-28 
13	0-0 1-1 2-2 3-4 4-5 5-3 6-7 7-8 8-9 9-6 10-6 11-10 12-10 13-11 
14	0-0 1-1 2-2 3-3 4-4 5-5 6-8 7-6 8-7 9-9 10-10 11-10 12-11 
15	0-0 1-0 2-1 3-2 4-3 
16	0-0 1-1 2-3 3-4 4-2 5-2 6-6 7-6 8-5 9-7 10-7 11-8 12-9 12-10 13-11 14-11 15-12 16-14 17-13 18-13 19-15 20-15 21-16 21-17 22-18 23-18 24-19 25-20 26-21 27-22 28-23 29-24 
17	0-2 1-2 2-3 3-4 4-5 5-0 6-0 7-1 8-6 9-6 10-7 11-8 12-9 13-10 14-11 
18	0-0 0-1 1-2 2-3 3-4 4-9 4-10 5-7 6-8 7-11 8-11 9-5 9-6 10-15 10-16 11-14 12-17 13-18 14-12 15-13 16-22 17-23 18-25 19-24 20-26 21-27 22-28 22-29 23-20 24-19 25-21 26-32 27-33 28-30 28-31 29-35 29-36 30-34 31-34 32-41 33-42 34-43 35-44 36-40 37-39 38-38 39-37 40-47 40-48 41-45 42-46 43-49 44-49 45-50 46-51 
19	0-0 1-0 2-1 3-2 4-2 5-3 6-4 7-4 8-5 9-5 10-6 11-7 12-7 13-8 14-9 
20	0-0 1-1 2-3 3-2 4-4 5-5 6-6 7-6 8-7 9-7 10-8 11-9 12-16 13-16 14-15 15-15 16-13 16-14 17-10 18-11 19-12 20-12 21-17 22-17 23-18 24-19 25-25 25-26 26-27 27-27 28-20 29-20 30-21 30-22 31-23 32-24 33-24 34-31 35-32 36-32 37-28 38-28 39-29 40-30 41-33 42-34 43-35 44-36 45-37 46-38 47-39 48-40 49-41 50-42 51-42 52-43 53-44 54-45 55-45 56-46 57-47 58-48 
21	0-0 1-0 2-0 3-1 4-2 5-3 6-4 6-5 7-8 8-6 9-7 10-11 11-9 12-10 13-12 14-13 15-15 16-14 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-16 25-17 26-26 27-27 28-25 29-28 30-29 31-30 32-31 33-32 34-33 
22	0-0 1-0 2-1 3-2 4-3 5-4 6-6 7-5 8-7 9-8 10-9 11-10 12-13 13-13 14-11 15-12 16-14 17-14 18-15 18-16 19-17 20-17 21-21 22-18 23-19 24-20 25-22 26-23 27-23 28-24 29-25 30-26 31-26 32-27 32-28 33-29 34-30 35-31 36-32 37-33 38-34 39-35 40-36 41-37 42-37 43-38 44-39 45-40 46-40 47-42 48-41 49-43 50-44 
23	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-6 8-6 9-7 10-8 11-8 12-9 13-10 14-11 15-12 16-13 17-13 18-14 19-14 20-15 21-15 22-16 23-17 
24	0-0 1-1 2-2 3-3 4-4 5-5 
25	0-3 1-3 2-2 3-0 4-1 5-1 6-5 7-5 8-4 9-4 10-6 
26	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 
27	0-0 1-1 2-2 2-3 2-4 3-7 4-5 4-6 5-8 
28	0-0 1-1 2-2 2-3 3-5 4-4 5-6 6-7 7-8 8-11 8-12 9-9 10-10 11-13 12-13 13-14 13-15 14-16 
29	0-0 1-0 2-3 3-1 4-2 5-4 6-4 
30	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 
31	0-0 1-1 2-3 3-4 4-2 5-5 
32	0-0 1-0 2-4 3-3 4-2 5-1 6-5 7-5 
33	0-0 0-1 1-4 2-4 3-2 3-3 4-5 5-5 6-6 7-7 8-9 9-8 10-13 11-14 12-10 12-11 13-12 14-12 15-15 16-16 16-17 17-18 18-18 19-19 20-19 21-20 22-21 23-22 24-23 25-24 
34	0-0 1-1 2-2 3-3 4-8 5-9 6-10 7-11 8-4 9-5 10-6 11-7 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-22 22-21 23-23 24-24 25-27 25-28 26-29 27-29 28-25 29-26 30-30 31-31 32-33 32-34 33-32 34-32 35-35 36-36 37-36 38-37 39-38 
