0	0-0 1-0 2-1 3-1 4-2 5-2 6-2 7-2 
1	0-6 1-7 2-8 3-9 4-0 5-1 6-4 7-5 8-5 9-3 10-2 11-2 12-15 13-15 14-15 15-11 16-10 17-12 18-13 18-14 19-19 20-19 21-21 22-20 23-16 24-17 25-18 26-18 27-23 28-24 29-25 30-22 31-22 32-26 33-26 34-27 35-28 36-29 37-29 38-30 39-31 39-32 40-33 41-34 42-38 43-39 44-35 45-36 46-37 47-40 
2	0-0 0-1 1-2 2-2 3-3 4-3 5-4 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-10 14-11 15-12 16-13 17-14 18-15 
3	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 
4	0-2 1-2 2-0 3-1 4-3 5-4 6-5 7-6 8-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-19 21-20 22-21 23-22 24-23 25-23 26-24 27-25 
5	0-0 1-0 2-0 3-1 3-2 4-3 5-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-17 19-18 20-20 21-19 22-21 23-21 24-22 25-22 26-23 27-24 28-25 
6	0-6 1-6 2-3 3-3 4-4 4-5 5-0 6-1 7-2 8-2 9-8 10-8 11-7 12-7 13-9 14-14 15-14 16-13 17-13 18-10 19-10 20-11 20-12 21-15 
7	0-0 0-1 1-3 2-4 3-2 4-2 5-11 6-11 7-12 8-13 9-13 10-9 11-10 12-5 13-6 14-7 15-8 16-17 17-17 18-16 19-16 20-14 20-15 21-18 22-19 23-20 24-21 25-22 26-23 27-23 28-24 28-25 29-26 29-27 30-30 31-28 32-29 33-33 33-34 34-31 35-32 36-35 37-36 38-37 39-38 40-39 41-40 42-41 43-41 44-42 45-43 46-44 
8	0-0 1-1 2-2 2-3 3-9 3-10 4-11 5-4 6-5 7-6 8-7 8-8 9-12 10-13 11-14 11-15 12-16 13-17 14-18 15-19 16-20 17-21 18-23 19-24 20-25 21-22 22-22 23-26 24-27 25-28 26-29 26-30 27-32 28-33 29-31 30-34 31-35 32-36 33-37 34-38 35-39 36-40 37-41 38-42 39-43 40-44 41-45 41-46 42-49 42-50 43-51 44-52 45-52 46-47 47-48 48-53 49-54 
9	0-0 1-1 2-3 3-2 4-2 5-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 12-17 13-18 14-20 15-19 16-14 17-15 18-16 19-11 20-12 21-13 
10	0-0 1-0 2-1 3-5 4-6 5-4 6-4 7-2 8-3 9-9 10-9 11-10 12-7 13-8 14-8 15-11 15-12 16-13 17-14 17-15 18-16 19-16 20-17 21-18 22-19 23-20 23-21 24-25 25-24 26-22 27-23 28-26 29-26 30-27 30-28 31-35 32-36 33-32 34-32 35-33 35-34 36-31 37-30 38-29 39-37 40-38 41-39 42-40 43-41 44-41 45-42 45-43 46-44 47-45 48-46 49-49 50-50 51-48 52-47 53-47 54-51 55-52 56-53 57-54 58-55 
11	0-0 1-1 2-3 3-4 4-2 5-5 6-6 7-7 7-8 8-9 9-10 10-11 11-12 12-13 13-13 14-14 14-15 15-16 16-17 16-18 17-19 18-19 19-21 20-20 21-22 22-23 23-26 23-27 24-24 24-25 25-28 26-28 27-29 28-29 29-30 30-31 
