0	0-0 0-1 1-2 2-3 3-4 
1	0-0 0-1 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-9 9-10 10-11 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 18-21 
2	0-0 1-1 2-2 3-3 
3	0-1 1-2 2-0 3-3 4-4 5-5 6-6 7-7 8-7 9-8 10-9 11-10 12-11 13-11 14-11 15-12 16-13 17-14 18-15 19-19 20-20 21-21 22-21 23-22 24-23 25-16 26-16 27-17 28-18 29-28 30-27 31-29 32-25 33-26 34-26 35-24 36-24 37-30 38-31 39-32 40-32 41-33 42-33 43-34 43-35 44-36 44-37 45-38 
4	0-0 1-1 2-3 3-2 4-2 5-4 6-5 7-6 8-6 9-6 10-7 10-8 11-9 12-10 12-11 13-17 14-18 15-19 16-19 17-12 18-12 19-13 20-15 21-14 22-14 23-16 24-21 24-22 25-20 26-20 27-23 28-24 
5	0-0 0-1 1-2 2-3 3-4 4-5 5-6 5-7 6-8 7-9 7-10 8-11 9-12 9-13 10-14 11-15 12-16 12-17 13-18 13-19 14-20 15-21 16-22 17-23 18-23 19-24 20-25 21-26 22-27 22-28 23-29 24-29 25-30 26-31 26-32 27-33 
6	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-16 9-17 10-18 10-19 11-20 12-11 13-10 14-10 15-12 16-13 16-14 17-15 18-15 19-21 20-22 21-23 22-24 23-25 23-26 24-28 25-27 26-27 27-29 28-30 29-31 
7	0-0 1-1 2-2 2-3 3-4 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 12-13 13-14 14-15 14-16 15-17 16-17 17-18 18-19 19-20 20-21 21-22 22-23 23-24 24-24 25-25 26-26 27-27 28-28 29-29 30-30 30-31 31-32 32-33 33-34 34-35 35-36 36-39 37-37 38-38 39-40 40-41 40-42 41-44 42-43 43-43 44-45 44-46 45-51 46-51 47-47 47-48 48-49 49-50 50-52 
8	0-0 1-1 2-2 2-3 3-4 4-5 5-6 6-9 7-9 8-9 9-8 10-7 11-10 11-11 12-15 13-16 14-14 15-12 15-13 16-17 17-18 18-19 19-20 20-22 20-23 21-21 22-24 23-24 24-25 25-26 25-27 26-28 27-29 28-30 29-31 30-32 
9	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 
10	0-6 0-7 1-5 2-5 3-8 4-9 5-9 6-0 7-1 8-2 8-3 9-4 10-11 11-12 12-10 13-10 14-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24 25-25 26-26 27-26 28-28 29-27 30-29 31-30 32-31 33-32 34-33 35-34 36-34 37-35 38-36 39-37 
11	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-15 14-16 15-14 16-17 17-17 18-18 18-19 19-20 20-21 21-22 22-23 23-24 23-25 24-26 25-26 26-27 27-28 28-29 29-30 30-30 31-31 
12	0-0 1-1 2-2 3-3 4-3 5-6 6-4 7-5 8-7 9-18 10-18 11-18 12-19 13-20 14-21 15-21 16-22 17-22 18-23 18-24 19-25 20-26 21-27 21-28 22-8 23-9 24-10 25-11 26-12 27-14 27-15 28-13 29-13 30-16 30-17 31-29 
13	0-1 1-2 2-0 3-0 4-0 5-3 6-4 7-5 8-5 9-6 10-7 11-8 11-9 12-11 13-11 14-10 15-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 22-20 22-21 23-22 24-23 25-24 26-25 27-26 27-27 27-28 28-29 29-30 30-31 31-32 32-33 33-34 33-35 34-36 35-37 36-37 37-38 38-39 38-40 39-41 40-43 41-42 42-44 43-45 44-47 45-48 46-49 47-46 48-50 49-50 50-51 51-52 
14	0-0 1-0 2-1 3-2 4-4 5-3 6-3 7-5 8-6 9-6 10-7 11-8 12-8 13-9 14-10 15-10 16-11 17-12 
15	0-0 1-1 2-2 3-2 4-3 5-4 6-4 7-9 8-9 9-5 9-6 10-7 11-8 12-8 13-8 14-10 15-10 16-12 16-13 17-11 18-11 19-11 20-17 21-17 22-17 23-18 24-16 25-16 26-16 27-16 28-14 29-14 30-14 31-15 32-19 
16	0-6 1-7 2-8 2-9 3-10 4-11 5-12 6-13 7-14 8-15 9-17 10-16 11-0 12-1 13-2 14-3 15-4 15-5 16-18 17-19 18-20 19-21 20-22 21-23 22-24 23-25 24-26 25-27 26-28 27-29 28-30 29-31 29-32 30-33 31-34 32-35 
17	0-0 1-0 2-1 3-2 4-4 5-3 6-5 7-6 8-7 9-11 10-12 11-8 12-8 13-9 13-10 14-13 15-14 16-18 17-16 18-17 19-19 19-20 19-21 20-15 21-15 22-31 23-29 24-30 25-22 26-23 27-24 28-25 29-26 30-27 31-28 32-38 32-39 33-35 33-36 34-37 35-37 36-32 37-32 38-33 38-34 39-40 40-41 41-42 42-43 43-44 
18	0-2 0-3 1-4 2-5 3-6 4-0 5-1 6-7 7-8 8-9 9-11 10-12 11-16 12-13 13-14 14-15 15-10 16-17 17-17 18-18 19-19 20-20 21-20 22-20 23-20 24-21 25-22 25-23 26-24 26-25 26-26 27-27 28-28 29-28 30-29 31-30 32-30 33-31 34-32 35-33 35-34 36-35 37-36 
19	0-0 0-1 0-2 1-3 2-4 2-5 2-6 3-7 4-7 5-9 5-10 6-8 7-11 8-12 8-13 9-14 10-15 11-16 12-17 12-18 12-19 12-20 13-21 14-22 15-23 16-24 17-25 
20	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-12 12-11 13-13 14-14 15-14 16-15 17-16 18-17 19-18 20-19 21-19 22-20 23-21 24-22 25-23 26-24 27-25 28-26 
21	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-8 8-8 9-6 10-7 11-9 12-11 13-11 14-11 15-10 16-12 17-12 18-13 19-14 19-15 20-17 21-16 22-18 23-19 23-20 24-21 25-22 26-23 27-24 28-25 29-26 30-27 30-28 30-29 31-30 31-31 31-32 32-33 33-34 34-35 35-35 36-36 37-36 38-37 39-38 40-39 41-40 42-41 
22	0-0 1-1 2-2 2-3 3-4 4-4 5-4 6-5 
23	0-0 1-0 2-1 3-2 4-3 4-4 5-5 6-5 7-6 8-7 9-8 9-9 10-10 11-11 12-12 13-12 14-13 
24	0-0 1-0 2-1 3-2 4-3 5-4 6-8 7-9 7-10 8-5 9-5 10-6 10-7 11-24 11-25 12-22 12-23 13-29 13-30 14-31 15-26 15-27 16-28 17-32 18-32 19-33 20-33 21-39 22-38 23-38 24-36 25-37 26-35 27-34 28-40 29-40 30-11 31-12 32-13 33-14 34-15 35-21 36-21 37-18 38-19 39-20 40-16 41-17 
25	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-7 10-8 11-9 12-10 13-10 14-12 15-12 16-11 17-11 18-13 19-14 20-15 21-16 22-16 23-17 24-18 25-19 
26	0-0 1-0 2-1 3-2 3-3 4-4 4-5 5-6 6-7 7-8 7-9 8-10 9-11 10-12 11-13 
