0	0-1 1-1 2-1 3-1 4-0 5-0 6-0 7-0 
1	0-0 0-1 1-2 2-3 3-4 4-4 5-7 6-5 7-6 8-9 9-8 10-10 11-11 12-12 13-14 13-15 14-13 15-16 16-16 17-17 18-18 19-18 20-21 21-20 22-19 23-22 24-23 25-24 26-25 27-26 28-27 29-28 30-29 31-30 32-31 33-32 34-33 35-34 36-35 37-36 38-39 39-40 40-37 41-38 42-42 43-41 44-43 45-43 46-44 47-45 
2	0-6 0-7 1-4 2-5 3-9 3-10 4-8 5-2 6-0 7-1 8-3 9-11 9-12 9-13 10-14 11-15 12-16 13-17 14-18 15-18 16-20 17-21 18-19 19-22 19-23 20-24 20-25 21-26 21-27 22-28 23-29 24-29 25-38 26-34 27-35 28-37 29-36 30-32 31-30 32-31 33-33 34-44 35-45 36-39 37-40 38-41 39-42 40-43 41-48 42-49 43-50 44-47 45-46 46-51 46-52 47-53 48-53 49-54 49-55 50-58 51-59 52-60 52-61 53-56 54-57 55-63 56-62 57-64 58-65 58-66 59-67 60-68 61-69 62-70 62-71 63-72 64-73 65-74 66-75 67-76 68-77 69-78 69-79 70-80 71-80 72-81 73-82 
3	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-13 12-14 13-12 14-12 15-15 15-16 16-20 17-21 18-17 19-18 20-19 21-29 22-28 23-24 24-24 25-22 26-23 27-25 27-26 28-27 29-36 29-37 30-38 31-38 32-34 32-35 33-33 34-32 35-31 36-30 37-39 37-40 38-43 38-44 39-42 40-42 41-41 42-45 43-46 44-47 45-48 46-49 47-50 48-52 49-51 50-53 51-54 52-55 53-56 54-57 55-58 56-59 57-60 57-61 58-63 59-62 60-64 61-65 62-66 63-67 64-68 65-69 65-70 66-75 67-71 68-72 69-73 70-74 71-76 72-77 73-78 
4	0-0 0-1 1-2 2-2 3-3 3-4 4-5 5-6 5-7 6-8 7-9 8-10 8-11 9-12 10-13 11-14 12-15 12-16 13-18 14-17 15-19 15-20 16-21 17-22 18-23 19-24 19-25 20-26 21-27 
5	0-0 1-1 2-2 3-2 4-3 5-4 6-5 7-6 8-7 9-7 10-10 11-10 12-8 13-9 14-11 15-11 16-12 17-13 18-14 
6	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-12 14-13 15-14 15-15 16-26 17-27 18-17 19-16 20-18 21-24 21-25 22-20 23-19 24-19 25-21 26-22 26-23 27-32 27-33 28-34 29-34 30-28 31-29 32-30 33-31 34-35 34-36 35-37 36-38 37-39 38-40 38-41 39-42 39-43 40-44 41-45 42-46 43-47 44-48 45-49 
7	0-4 1-5 2-2 2-3 3-0 4-1 5-6 5-7 6-8 7-8 8-9 8-10 9-12 9-13 10-11 11-18 12-16 12-17 13-20 13-21 14-19 15-22 16-23 17-24 18-24 19-14 19-15 20-27 20-28 21-29 22-29 23-26 24-25 25-34 26-35 27-36 27-37 28-40 29-41 30-38 31-39 32-30 32-31 33-32 34-33 35-42 36-43 37-43 38-45 39-46 40-44 41-47 42-48 43-49 
8	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 8-9 9-10 10-11 10-12 11-13 12-13 13-14 14-15 15-16 16-17 16-18 17-22 18-19 19-20 20-21 21-23 22-24 22-25 23-26 24-26 25-27 26-28 27-29 28-30 29-31 30-32 31-33 32-43 33-44 34-38 35-39 36-41 37-40 38-42 39-36 40-37 41-34 42-35 43-45 44-46 45-47 46-48 47-49 
9	0-0 1-0 2-1 3-2 4-3 5-3 6-4 6-5 7-6 8-7 9-8 10-9 11-9 12-13 13-11 13-12 14-10 15-10 16-14 17-15 17-16 18-23 19-22 20-17 21-17 22-18 23-19 24-21 25-20 26-28 27-27 28-24 29-25 30-26 31-29 32-30 33-31 34-32 35-33 36-34 37-35 38-36 
10	0-0 1-0 2-1 2-2 3-3 3-4 4-7 4-8 5-6 6-5 7-11 8-12 9-9 9-10 10-15 10-16 11-14 12-13 13-17 13-18 14-19 
11	0-0 1-1 2-2 2-3 3-4 3-5 3-6 4-8 5-7 6-9 7-10 8-10 9-12 10-11 11-13 12-14 13-15 14-16 14-17 15-20 15-21 16-19 17-18 18-25 19-24 20-22 20-23 21-26 21-27 22-28 23-29 24-30 25-31 
12	0-0 1-1 2-2 3-3 4-6 4-7 5-4 6-5 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 19-20 20-21 21-22 
13	0-0 1-0 2-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 8-9 9-17 10-18 11-15 11-16 12-11 13-12 14-10 15-13 15-14 16-19 16-20 17-21 18-22 19-23 20-24 
