0	0-0 1-1 2-3 3-2 4-7 5-7 6-5 7-4 8-6 
1	0-4 1-4 2-2 3-3 4-0 4-1 5-7 6-8 7-9 8-6 9-5 10-12 11-12 12-10 12-11 13-15 14-16 15-13 16-14 17-17 18-17 19-26 20-26 21-20 22-21 23-22 24-23 25-24 26-25 27-18 28-19 29-28 30-27 31-29 32-30 33-30 34-31 35-32 36-33 37-34 38-35 
2	0-0 1-1 2-2 3-2 4-5 5-5 6-3 7-4 8-8 9-8 10-6 10-7 11-10 12-9 13-11 14-11 15-12 16-13 17-14 18-15 19-16 20-16 21-17 22-20 23-21 24-22 25-22 26-18 27-18 28-19 29-23 30-24 31-25 32-26 33-27 
3	0-0 1-1 2-2 3-3 3-4 4-5 5-6 6-7 7-8 7-9 8-13 8-14 9-15 9-16 10-10 10-11 11-12 12-17 
4	0-0 0-1 1-2 1-3 2-11 2-12 3-9 3-10 4-13 4-14 4-15 4-16 5-17 5-18 5-19 5-20 5-21 6-7 6-8 7-4 7-5 7-6 
5	0-9 0-10 1-11 2-0 2-1 3-2 4-8 5-6 5-7 6-3 6-4 6-5 7-20 8-21 9-22 9-23 9-24 10-12 10-13 11-14 12-15 12-16 13-17 13-18 13-19 14-31 14-32 15-33 16-28 16-29 17-30 18-25 18-26 18-27 19-34 19-35 20-36 20-37 21-38 
6	0-0 0-1 1-2 2-3 3-5 4-4 5-7 6-6 7-8 8-9 9-9 10-12 11-13 12-10 12-11 13-14 14-15 15-16 16-16 17-17 18-17 19-18 20-19 21-20 22-23 23-23 24-24 25-21 26-22 27-25 
7	0-0 1-1 2-2 3-3 4-4 5-5 5-6 6-7 7-8 8-9 9-10 10-11 10-12 11-14 12-13 13-15 14-17 15-16 16-18 16-19 17-26 18-24 18-25 19-20 20-21 21-22 21-23 22-30 22-31 23-32 24-33 24-34 25-35 26-27 26-28 27-29 28-36 29-36 30-38 31-37 32-40 33-39 34-41 34-42 35-43 
8	0-0 1-1 2-2 2-3 2-4 3-5 3-6 4-7 5-8 6-9 7-10 7-11 7-12 8-15 9-13 9-14 10-16 10-17 11-18 12-22 12-23 13-24 13-25 14-19 14-20 15-21 16-34 17-35 18-32 18-33 19-29 19-30 19-31 20-26 20-27 20-28 21-36 22-37 22-38 23-39 24-40 24-41 25-42 25-43 26-44 27-51 28-49 28-50 29-47 29-48 30-45 30-46 31-64 31-65 32-66 33-67 34-61 34-62 34-63 35-55 35-56 36-57 37-58 37-59 38-60 39-52 39-53 39-54 40-71 40-72 41-73 42-68 42-69 42-70 43-74 
9	0-0 1-1 2-4 3-4 4-2 4-3 5-5 6-6 7-7 8-7 9-8 10-8 11-9 12-10 13-11 14-12 
10	0-3 1-3 2-0 3-1 4-2 5-4 6-6 7-5 8-7 9-7 10-8 11-8 12-9 13-10 13-11 14-12 15-12 16-13 17-14 18-15 19-16 20-18 21-17 22-23 23-24 24-19 25-20 26-21 27-22 28-22 29-28 30-28 31-25 32-26 33-27 34-29 34-30 35-33 36-33 37-32 38-31 39-34 40-35 41-36 42-36 43-37 44-38 45-39 46-40 46-41 47-47 48-48 49-42 50-43 51-44 52-45 53-45 54-46 55-57 56-57 57-55 57-56 58-49 59-50 60-51 61-52 62-53 63-54 64-54 65-64 66-64 67-59 68-58 69-63 70-63 71-60 71-61 72-62 73-65 
11	0-0 1-1 2-2 2-3 3-5 4-4 5-6 6-7 6-8 7-9 8-10 9-11 10-12 10-13 11-14 12-15 13-16 14-31 15-30 16-28 16-29 17-26 18-27 19-33 20-32 21-36 22-36 23-34 23-35 24-38 25-37 26-39 27-42 28-43 29-40 29-41 30-19 31-20 32-17 32-18 33-23 34-24 35-25 36-21 36-22 37-61 38-61 39-59 39-60 40-62 40-63 41-57 42-56 43-54 43-55 44-52 44-53 45-58 46-44 46-45 47-46 48-47 49-48 50-49 50-50 51-51 52-51 53-64 54-65 55-66 56-67 56-68 57-69 58-70 59-71 60-72 61-73 62-74 
